Tournament;Round;Day;Date;Time;Home;Home score;Away score;Away Score;Away;Attendance;Venue;Extra Time;Penalties;Notes
Germany 2006;Round of 16;Mon;26/06/2006;17:00 (16:00);Italy;1;1-0;0;Australia;46,000;Fritz-Walter-Stadion (Neutral Site);;;
Germany 2006;Round of 16;Mon;26/06/2006;21:00 (20:00);Switzerland;0;0-0;0;Ukraine;45,000;RheinEnergieSTADION (Neutral Site);Yes;Yes;Ukraine won on penalty kicks following extra time
Germany 2006;Round of 16;Tue;27/06/2006;17:00 (16:00);Brazil;3;3-0;0;Ghana;65,000;Signal Iduna Park (Neutral Site);;;
Germany 2006;Round of 16;Tue;27/06/2006;21:00 (20:00);Spain;1;1-3;3;France;43,000;HDI-Arena (Neutral Site);;;
Germany 2006;Quarter-finals;Fri;30/06/2006;17:00 (16:00);Germany;1;1-1;1;Argentina;72,000;Olympiastadion Berlin (Neutral Site);Yes;Yes;Germany won on penalty kicks following extra time
Germany 2006;Quarter-finals;Fri;30/06/2006;21:00 (20:00);Italy;.;.-0;0;Ukraine;50,000;Volksparkstadion (Neutral Site);;;
Germany 2006;Quarter-finals;Sat;01/07/2006;17:00 (16:00);England;0;0-0;0;Portugal;52,000;Veltins-Arena (Neutral Site);Yes;Yes;Portugal won on penalty kicks following extra time
Germany 2006;Quarter-finals;Sat;01/07/2006;21:00 (20:00);Brazil;0;0-1;1;France;48,000;Commerzbank-Arena (Neutral Site);;;
Germany 2006;Semi-finals;Tue;04/07/2006;21:00 (20:00);Germany;0;0-2;2;Italy;65,000;Signal Iduna Park (Neutral Site);Yes;;Required Extra Time
Germany 2006;Semi-finals;Wed;05/07/2006;21:00 (20:00);Portugal;0;0-1;1;France;66,000;Allianz Arena (Neutral Site);;;
Germany 2006;Third-place match;Sat;08/07/2006;21:00 (20:00);Germany;3;3-1;1;Portugal;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Final;Sun;09/07/2006;20:00 (19:00);Italy;1;1-1;1;France;69,000;Olympiastadion Berlin (Neutral Site);Yes;Yes;Italy won on penalty kicks following extra time
Japan South Korea 2002;Group stage;Fri;31/05/2002;20:30 (12:30);France;0;0-1;1;Senegal;62,561;Seoul World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;01/06/2002;15:30 (07:30);Ireland;1;1-1;1;Cameroon;33,679;Denka Big Swan Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;01/06/2002;18:00 (10:00);Uruguay;1;1-2;2;Denmark;30,157;Munsu Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;01/06/2002;20:30 (12:30);Germany;8;8-0;0;Saudi Arabia;32,218;Sapporo Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;02/06/2002;14:30 (06:30);Argentina;1;1-0;0;Nigeria;34,050;Kashima Soccer Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;02/06/2002;16:30 (08:30);Paraguay;2;2-2;2;South Africa;25,186;Busan Sport Complex Asiad Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;02/06/2002;18:30 (10:30);England;1;1-1;1;Sweden;52,721;Saitama Stadium 2002 (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;02/06/2002;20:30 (12:30);Spain;3;3-1;1;Slovenia;28,588;Guus Hiddink Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;03/06/2002;15:30 (07:30);Croatia;0;0-1;1;Mexico;32,239;Denka Big Swan Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;03/06/2002;18:00 (10:00);Brazil;2;2-1;1;Turkey;33,842;Munsu Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;03/06/2002;20:30 (12:30);Italy;2;2-0;0;Ecuador;31,081;Sapporo Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;04/06/2002;15:30 (07:30);PR;0;0-2;2;Costa Rica;27,217;Guus Hiddink Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;04/06/2002;18:00 (10:00);Japan;2;2-2;2;Belgium;55,256;Saitama Stadium 2002 (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;04/06/2002;20:30 (12:30);Republic;2;2-0;0;Poland;48,760;Busan Sport Complex Asiad Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;05/06/2002;15:30 (07:30);Russia;2;2-0;0;Tunisia;30,957;NOEVIR Stadium Kobe (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;05/06/2002;18:00 (10:00);United States;3;3-2;2;Portugal;37,306;Suwon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;05/06/2002;20:30 (12:30);Germany;1;1-1;1;Rep. of Ireland;35,854;Kashima Soccer Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;06/06/2002;15:30 (07:30);Denmark;1;1-1;1;Senegal;43,500;Daegu Main Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;06/06/2002;18:00 (10:00);Cameroon;1;1-0;0;Saudi Arabia;52,328;Saitama Stadium 2002 (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;06/06/2002;20:30 (12:30);France;0;0-0;0;Uruguay;38,070;Busan Sport Complex Asiad Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;07/06/2002;15:30 (07:30);Sweden;2;2-1;1;Nigeria;36,194;NOEVIR Stadium Kobe (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;07/06/2002;18:00 (10:00);Spain;3;3-1;1;Paraguay;24,000;Jeonju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;07/06/2002;20:30 (12:30);Argentina;0;0-1;1;England;35,927;Sapporo Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;08/06/2002;15:30 (07:30);South Africa;1;1-0;0;Slovenia;47,226;Daegu Main Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;08/06/2002;18:00 (10:00);Italy;1;1-2;2;Croatia;36,472;Kashima Soccer Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sat;08/06/2002;20:30 (12:30);Brazil;4;4-0;0;China PR;36,750;Jeju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;09/06/2002;15:30 (07:30);Mexico;2;2-1;1;Ecuador;45,610;Sapporo Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;09/06/2002;18:00 (10:00);Costa Rica;1;1-1;1;Turkey;42,299;Incheon Munhak Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Sun;09/06/2002;20:30 (12:30);Japan;1;1-0;0;Russia;66,108;Nissan Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;10/06/2002;15:30 (07:30);Republic;1;1-1;1;United States;60,778;Daegu Main Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;10/06/2002;18:00 (10:00);Tunisia;1;1-1;1;Belgium;39,700;Ōita Bank Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Mon;10/06/2002;20:30 (12:30);Portugal;4;4-0;0;Poland;31,000;Jeonju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;11/06/2002;15:30 (07:30);Denmark;2;2-0;0;France;48,100;Incheon Munhak Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;11/06/2002;15:30 (07:30);Senegal;3;3-3;3;Uruguay;33,681;Suwon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;11/06/2002;20:30 (12:30);Cameroon;0;0-2;2;Germany;47,085;Shizuoka Stadium Ecopa (Neutral Site);;;
Japan South Korea 2002;Group stage;Tue;11/06/2002;20:30 (12:30);Saudi Arabia;0;0-3;3;Rep. of Ireland;65,320;Nissan Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;12/06/2002;15:30 (07:30);Nigeria;0;0-0;0;England;44,864;Yanmar Stadium Nagai (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;12/06/2002;15:30 (07:30);Sweden;1;1-1;1;Argentina;45,777;Miyagi Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;12/06/2002;20:30 (12:30);South Africa;2;2-3;3;Spain;31,024;Daejeon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Wed;12/06/2002;20:30 (12:30);Slovenia;1;1-3;3;Paraguay;30,176;Jeju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;13/06/2002;15:30 (07:30);Turkey;3;3-0;0;China PR;43,605;Seoul World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;13/06/2002;15:30 (07:30);Costa Rica;2;2-5;5;Brazil;38,524;Suwon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;13/06/2002;20:30 (12:30);Mexico;1;1-1;1;Italy;39,291;Ōita Bank Dome (Neutral Site);;;
Japan South Korea 2002;Group stage;Thu;13/06/2002;20:30 (12:30);Ecuador;1;1-0;0;Croatia;65,862;Nissan Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;14/06/2002;15:30 (07:30);Belgium;3;3-2;2;Russia;46,640;Shizuoka Stadium Ecopa (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;14/06/2002;15:30 (07:30);Tunisia;0;0-2;2;Japan;45,213;Yanmar Stadium Nagai (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;14/06/2002;20:30 (12:30);Poland;3;3-1;1;United States;26,482;Daejeon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Group stage;Fri;14/06/2002;20:30 (12:30);Portugal;0;0-1;1;Korea Republic;50,239;Incheon Munhak Stadium (Neutral Site);;;
Japan South Korea 2002;Round of 16;Sat;15/06/2002;15:30 (07:30);Germany;1;1-0;0;Paraguay;25,176;Jeju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Round of 16;Sat;15/06/2002;20:30 (12:30);Denmark;0;0-3;3;England;40,582;Denka Big Swan Stadium (Neutral Site);;;
Japan South Korea 2002;Round of 16;Sun;16/06/2002;15:30 (07:30);Sweden;1;1-2;2;Senegal;39,747;Ōita Bank Dome (Neutral Site);Yes;;Required Extra Time
Japan South Korea 2002;Round of 16;Sun;16/06/2002;20:30 (12:30);Spain;1;1-1;1;Rep. of Ireland;38,926;Suwon World Cup Stadium (Neutral Site);Yes;Yes;Spain won on penalty kicks following extra time
Japan South Korea 2002;Round of 16;Mon;17/06/2002;15:30 (07:30);Mexico;0;0-2;2;United States;36,380;Jeonju World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Round of 16;Mon;17/06/2002;20:30 (12:30);Brazil;2;2-0;0;Belgium;40,440;NOEVIR Stadium Kobe (Neutral Site);;;
Japan South Korea 2002;Round of 16;Tue;18/06/2002;15:30 (07:30);Japan;0;0-1;1;Turkey;45,666;Miyagi Stadium (Neutral Site);;;
Japan South Korea 2002;Round of 16;Tue;18/06/2002;20:30 (12:30);Republic;2;2-1;1;Italy;38,588;Daejeon World Cup Stadium (Neutral Site);Yes;;Required Extra Time
Japan South Korea 2002;Quarter-finals;Fri;21/06/2002;15:30 (07:30);England;1;1-2;2;Brazil;47,436;Daejeon World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Quarter-finals;Fri;21/06/2002;20:30 (12:30);Germany;1;1-0;0;United States;37,337;Munsu Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Quarter-finals;Sat;22/06/2002;15:30 (07:30);Spain;0;0-5;5;Korea Republic;42,114;Guus Hiddink Stadium (Neutral Site);Yes;Yes;Korea Republic won on penalty kicks following extra time
Japan South Korea 2002;Quarter-finals;Sat;22/06/2002;20:30 (12:30);Senegal;0;0-1;1;Turkey;44,233;Yanmar Stadium Nagai (Neutral Site);Yes;;Required Extra Time
Japan South Korea 2002;Semi-finals;Tue;25/06/2002;20:30 (12:30);Germany;1;1-0;0;Korea Republic;65,625;Seoul World Cup Stadium (Neutral Site);;;
Japan South Korea 2002;Semi-finals;Wed;26/06/2002;20:30 (12:30);Brazil;1;1-0;0;Turkey;61,058;Saitama Stadium 2002 (Neutral Site);;;
Japan South Korea 2002;Third-place match;Sat;29/06/2002;20:00 (12:00);Republic;2;2-3;3;Turkey;63,483;Daegu Main Stadium (Neutral Site);;;
Japan South Korea 2002;Final;Sun;30/06/2002;20:00 (12:00);Germany;0;0-2;2;Brazil;69,029;Nissan Stadium (Neutral Site);;;
France 98;Group stage;Wed;10/06/1998;17:30 (16:30);Brazil;2;2-1;1;Scotland;80,000;Stade de France (Neutral Site);;;
France 98;Group stage;Wed;10/06/1998;21:00 (20:00);Morocco;2;2-2;2;Norway;29,750;Stade de la Mosson (Neutral Site);;;
France 98;Group stage;Thu;11/06/1998;17:30 (16:30);Italy;2;2-2;2;Chile;35,200;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Group stage;Thu;11/06/1998;21:00 (20:00);Cameroon;1;1-1;1;Austria;36,500;Stadium Municipal (Neutral Site);;;
France 98;Group stage;Fri;12/06/1998;14:30 (13:30);Paraguay;0;0-0;0;Bulgaria;27,650;Stade de la Mosson (Neutral Site);;;
France 98;Group stage;Fri;12/06/1998;17:30 (16:30);Saudi Arabia;0;0-1;1;Denmark;38,100;Stade Bollaert-Delelis (Neutral Site);;;
France 98;Group stage;Fri;12/06/1998;21:00 (20:00);France;3;3-0;0;South Africa;55,000;Orange Vélodrome (Neutral Site);;;
France 98;Group stage;Sat;13/06/1998;14:30 (13:30);Spain;2;2-3;3;Nigeria;38,000;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Group stage;Sat;13/06/1998;17:30 (16:30);Republic;1;1-3;3;Mexico;39,100;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Group stage;Sat;13/06/1998;21:00 (20:00);Netherlands;0;0-0;0;Belgium;77,000;Stade de France (Neutral Site);;;
France 98;Group stage;Sun;14/06/1998;14:30 (13:30);Argentina;1;1-0;0;Japan;33,500;Stadium Municipal (Neutral Site);;;
France 98;Group stage;Sun;14/06/1998;17:30 (16:30);Yugoslavia;1;1-0;0;IR Iran;36,000;Stade Geoffroy-Guichard (Neutral Site);;;
France 98;Group stage;Sun;14/06/1998;21:00 (20:00);Jamaica;1;1-3;3;Croatia;38,100;Stade Bollaert-Delelis (Neutral Site);;;
France 98;Group stage;Mon;15/06/1998;14:30 (13:30);England;2;2-0;0;Tunisia;54,587;Orange Vélodrome (Neutral Site);;;
France 98;Group stage;Mon;15/06/1998;17:30 (16:30);Romania;1;1-0;0;Colombia;43,300;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Group stage;Mon;15/06/1998;21:00 (20:00);Germany;2;2-0;0;United States;49,000;Parc des Princes (Neutral Site);;;
France 98;Group stage;Tue;16/06/1998;17:30 (16:30);Scotland;1;1-1;1;Norway;31,800;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Group stage;Tue;16/06/1998;21:00 (20:00);Brazil;3;3-0;0;Morocco;38,500;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Group stage;Wed;17/06/1998;17:30 (16:30);Chile;1;1-1;1;Austria;36,000;Stade Geoffroy-Guichard (Neutral Site);;;
France 98;Group stage;Wed;17/06/1998;21:00 (20:00);Italy;3;3-0;0;Cameroon;35,500;Stade de la Mosson (Neutral Site);;;
France 98;Group stage;Thu;18/06/1998;17:30 (16:30);South Africa;1;1-1;1;Denmark;33,500;Stadium Municipal (Neutral Site);;;
France 98;Group stage;Thu;18/06/1998;21:00 (20:00);France;4;4-0;0;Saudi Arabia;80,000;Stade de France (Neutral Site);;;
France 98;Group stage;Fri;19/06/1998;17:30 (16:30);Nigeria;1;1-0;0;Bulgaria;48,000;Parc des Princes (Neutral Site);;;
France 98;Group stage;Fri;19/06/1998;21:00 (20:00);Spain;0;0-0;0;Paraguay;36,000;Stade Geoffroy-Guichard (Neutral Site);;;
France 98;Group stage;Sat;20/06/1998;14:30 (13:30);Japan;0;0-1;1;Croatia;35,500;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Group stage;Sat;20/06/1998;17:30 (16:30);Belgium;2;2-2;2;Mexico;31,800;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Group stage;Sat;20/06/1998;21:00 (20:00);Netherlands;5;5-0;0;Korea Republic;55,000;Orange Vélodrome (Neutral Site);;;
France 98;Group stage;Sun;21/06/1998;14:30 (13:30);Germany;2;2-2;2;Yugoslavia;41,275;Stade Bollaert-Delelis (Neutral Site);;;
France 98;Group stage;Sun;21/06/1998;17:30 (16:30);Argentina;5;5-0;0;Jamaica;45,500;Parc des Princes (Neutral Site);;;
France 98;Group stage;Sun;21/06/1998;21:00 (20:00);United States;1;1-2;2;IR Iran;43,300;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Group stage;Mon;22/06/1998;17:30 (16:30);Colombia;1;1-0;0;Tunisia;35,500;Stade de la Mosson (Neutral Site);;;
France 98;Group stage;Mon;22/06/1998;21:00 (20:00);Romania;2;2-1;1;England;33,140;Stadium Municipal (Neutral Site);;;
France 98;Group stage;Tue;23/06/1998;16:00 (15:00);Italy;2;2-1;1;Austria;80,000;Stade de France (Neutral Site);;;
France 98;Group stage;Tue;23/06/1998;16:00 (15:00);Chile;1;1-1;1;Cameroon;39,500;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Group stage;Tue;23/06/1998;21:00 (20:00);Brazil;1;1-2;2;Norway;57,000;Orange Vélodrome (Neutral Site);;;
France 98;Group stage;Tue;23/06/1998;21:00 (20:00);Scotland;0;0-3;3;Morocco;36,000;Stade Geoffroy-Guichard (Neutral Site);;;
France 98;Group stage;Wed;24/06/1998;16:00 (15:00);South Africa;2;2-2;2;Saudi Arabia;31,800;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Group stage;Wed;24/06/1998;16:00 (15:00);France;2;2-1;1;Denmark;39,100;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Group stage;Wed;24/06/1998;21:00 (20:00);Nigeria;1;1-3;3;Paraguay;33,400;Stadium Municipal (Neutral Site);;;
France 98;Group stage;Wed;24/06/1998;21:00 (20:00);Spain;6;6-1;1;Bulgaria;41,275;Stade Bollaert-Delelis (Neutral Site);;;
France 98;Group stage;Thu;25/06/1998;16:00 (15:00);Belgium;1;1-1;1;Korea Republic;45,500;Parc des Princes (Neutral Site);;;
France 98;Group stage;Thu;25/06/1998;16:00 (15:00);Netherlands;2;2-2;2;Mexico;30,600;Stade Geoffroy-Guichard (Neutral Site);;;
France 98;Group stage;Thu;25/06/1998;21:00 (20:00);United States;0;0-1;1;Yugoslavia;38,500;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Group stage;Thu;25/06/1998;21:00 (20:00);Germany;2;2-0;0;IR Iran;35,500;Stade de la Mosson (Neutral Site);;;
France 98;Group stage;Fri;26/06/1998;16:00 (15:00);Japan;1;1-2;2;Jamaica;39,100;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Group stage;Fri;26/06/1998;16:00 (15:00);Argentina;1;1-0;0;Croatia;31,800;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Group stage;Fri;26/06/1998;21:00 (20:00);Colombia;0;0-2;2;England;42,000;Stade Bollaert-Delelis (Neutral Site);;;
France 98;Group stage;Fri;26/06/1998;21:00 (20:00);Romania;1;1-1;1;Tunisia;80,000;Stade de France (Neutral Site);;;
France 98;Round of 16;Sat;27/06/1998;16:30 (15:30);Italy;1;1-0;0;Norway;55,000;Orange Vélodrome (Neutral Site);;;
France 98;Round of 16;Sat;27/06/1998;21:00 (20:00);Brazil;4;4-1;1;Chile;45,500;Parc des Princes (Neutral Site);;;
France 98;Round of 16;Sun;28/06/1998;16:30 (15:30);France;1;1-0;0;Paraguay;31,800;Stade Bollaert-Delelis (Neutral Site);Yes;;Required Extra Time
France 98;Round of 16;Sun;28/06/1998;21:00 (20:00);Nigeria;1;1-4;4;Denmark;77,000;Stade de France (Neutral Site);;;
France 98;Round of 16;Mon;29/06/1998;16:30 (15:30);Germany;2;2-1;1;Mexico;29,800;Stade de la Mosson (Neutral Site);;;
France 98;Round of 16;Mon;29/06/1998;21:00 (20:00);Netherlands;2;2-1;1;Yugoslavia;33,000;Stadium Municipal (Neutral Site);;;
France 98;Round of 16;Tue;30/06/1998;16:30 (15:30);Romania;0;0-1;1;Croatia;31,800;Stade Jacques Chaban-Delmas (Neutral Site);;;
France 98;Round of 16;Tue;30/06/1998;21:00 (20:00);Argentina;2;2-2;2;England;30,600;Stade Geoffroy-Guichard (Neutral Site);Yes;Yes;Argentina won on penalty kicks following extra time
France 98;Quarter-finals;Fri;03/07/1998;16:30 (15:30);Italy;0;0-0;0;France;80,000;Stade de France (Neutral Site);Yes;Yes;France won on penalty kicks following extra time
France 98;Quarter-finals;Fri;03/07/1998;21:00 (20:00);Brazil;3;3-2;2;Denmark;49,500;Stade de la Beaujoire - Louis Fonteneau (Neutral Site);;;
France 98;Quarter-finals;Sat;04/07/1998;16:30 (15:30);Netherlands;2;2-1;1;Argentina;60,000;Orange Vélodrome (Neutral Site);;;
France 98;Quarter-finals;Sat;04/07/1998;21:00 (20:00);Germany;0;0-3;3;Croatia;43,300;Matmut Stadium de Gerland (Neutral Site);;;
France 98;Semi-finals;Tue;07/07/1998;21:00 (20:00);Brazil;1;1-1;1;Netherlands;60,000;Orange Vélodrome (Neutral Site);Yes;Yes;Brazil won on penalty kicks following extra time
France 98;Semi-finals;Wed;08/07/1998;21:00 (20:00);France;2;2-1;1;Croatia;80,000;Stade de France (Neutral Site);;;
France 98;Third-place match;Sat;11/07/1998;21:00 (20:00);Netherlands;1;1-2;2;Croatia;44,000;Parc des Princes (Neutral Site);;;
France 98;Final;Sun;12/07/1998;21:00 (20:00);Brazil;0;0-3;3;France;80,000;Stade de France (Neutral Site);;;
USA 94;Group stage;Fri;17/06/1994;15:00 (21:00);Germany;1;1-0;0;Bolivia;63,117;Soldier Field (Neutral Site);;;
USA 94;Group stage;Sat;18/06/1994;11:30 (16:30);United States;1;1-1;1;Switzerland;73,425;Pontiac Silverdome (Neutral Site);;;
USA 94;Group stage;Sat;18/06/1994;16:00 (21:00);Italy;0;0-1;1;Rep. of Ireland;75,338;Giants Stadium (Neutral Site);;;
USA 94;Group stage;Fri;17/06/1994;19:30 (01:30);Spain;2;2-2;2;Korea Republic;56,247;Cotton Bowl (Neutral Site);;;
USA 94;Group stage;Sun;19/06/1994;12:30 (17:30);Belgium;1;1-0;0;Morocco;61,219;Citrus Bowl (Neutral Site);;;
USA 94;Group stage;Sun;19/06/1994;16:00 (21:00);Norway;1;1-0;0;Mexico;52,395;RFK Stadium (Neutral Site);;;
USA 94;Group stage;Sat;18/06/1994;19:30 (03:30);Colombia;1;1-3;3;Romania;91,856;Rose Bowl (Neutral Site);;;
USA 94;Group stage;Mon;20/06/1994;16:00 (00:00);Brazil;2;2-0;0;Russia;81,061;Stanford Stadium (Neutral Site);;;
USA 94;Group stage;Sun;19/06/1994;19:30 (03:30);Cameroon;2;2-2;2;Sweden;93,194;Rose Bowl (Neutral Site);;;
USA 94;Group stage;Mon;20/06/1994;19:30 (00:30);Netherlands;2;2-1;1;Saudi Arabia;50,535;RFK Stadium (Neutral Site);;;
USA 94;Group stage;Tue;21/06/1994;12:30 (17:30);Argentina;4;4-0;0;Greece;54,456;Foxboro Stadium (Neutral Site);;;
USA 94;Group stage;Tue;21/06/1994;16:00 (22:00);Germany;1;1-1;1;Spain;63,113;Soldier Field (Neutral Site);;;
USA 94;Group stage;Wed;22/06/1994;16:00 (21:00);Romania;1;1-4;4;Switzerland;61,428;Pontiac Silverdome (Neutral Site);;;
USA 94;Group stage;Tue;21/06/1994;19:30 (01:30);Nigeria;3;3-0;0;Bulgaria;44,132;Cotton Bowl (Neutral Site);;;
USA 94;Group stage;Thu;23/06/1994;16:00 (21:00);Italy;1;1-0;0;Norway;74,624;Giants Stadium (Neutral Site);;;
USA 94;Group stage;Wed;22/06/1994;19:30 (03:30);United States;2;2-1;1;Colombia;93,869;Rose Bowl (Neutral Site);;;
USA 94;Group stage;Thu;23/06/1994;19:30 (00:30);Republic;0;0-0;0;Bolivia;54,453;Foxboro Stadium (Neutral Site);;;
USA 94;Group stage;Fri;24/06/1994;12:30 (17:30);Mexico;2;2-1;1;Rep. of Ireland;60,790;Citrus Bowl (Neutral Site);;;
USA 94;Group stage;Fri;24/06/1994;16:00 (00:00);Brazil;3;3-0;0;Cameroon;83,401;Stanford Stadium (Neutral Site);;;
USA 94;Group stage;Fri;24/06/1994;19:30 (00:30);Sweden;3;3-1;1;Russia;71,528;Pontiac Silverdome (Neutral Site);;;
USA 94;Group stage;Sat;25/06/1994;12:30 (17:30);Saudi Arabia;2;2-1;1;Morocco;76,322;Giants Stadium (Neutral Site);;;
USA 94;Group stage;Sat;25/06/1994;12:30 (17:30);Belgium;1;1-0;0;Netherlands;62,387;Citrus Bowl (Neutral Site);;;
USA 94;Group stage;Sat;25/06/1994;16:00 (21:00);Argentina;2;2-1;1;Nigeria;54,453;Foxboro Stadium (Neutral Site);;;
USA 94;Group stage;Sun;26/06/1994;12:30 (18:30);Bulgaria;4;4-0;0;Greece;63,160;Soldier Field (Neutral Site);;;
USA 94;Group stage;Sun;26/06/1994;16:00 (00:00);Switzerland;0;0-2;2;Colombia;83,401;Stanford Stadium (Neutral Site);;;
USA 94;Group stage;Sun;26/06/1994;16:00 (00:00);United States;0;0-1;1;Romania;93,869;Rose Bowl (Neutral Site);;;
USA 94;Group stage;Mon;27/06/1994;16:00 (22:00);Bolivia;1;1-3;3;Spain;63,089;Soldier Field (Neutral Site);;;
USA 94;Group stage;Mon;27/06/1994;16:00 (22:00);Germany;3;3-2;2;Korea Republic;63,998;Cotton Bowl (Neutral Site);;;
USA 94;Group stage;Tue;28/06/1994;12:30 (17:30);Ireland;0;0-0;0;Norway;72,404;Giants Stadium (Neutral Site);;;
USA 94;Group stage;Tue;28/06/1994;12:30 (17:30);Italy;1;1-1;1;Mexico;52,535;RFK Stadium (Neutral Site);;;
USA 94;Group stage;Tue;28/06/1994;16:00 (21:00);Brazil;1;1-1;1;Sweden;77,217;Pontiac Silverdome (Neutral Site);;;
USA 94;Group stage;Tue;28/06/1994;16:00 (00:00);Russia;6;6-1;1;Cameroon;74,914;Stanford Stadium (Neutral Site);;;
USA 94;Group stage;Wed;29/06/1994;12:30 (17:30);Morocco;1;1-2;2;Netherlands;60,578;Citrus Bowl (Neutral Site);;;
USA 94;Group stage;Wed;29/06/1994;12:30 (17:30);Belgium;0;0-1;1;Saudi Arabia;52,959;RFK Stadium (Neutral Site);;;
USA 94;Group stage;Thu;30/06/1994;19:30 (00:30);Greece;0;0-2;2;Nigeria;53,001;Foxboro Stadium (Neutral Site);;;
USA 94;Group stage;Thu;30/06/1994;19:30 (01:30);Argentina;0;0-2;2;Bulgaria;63,998;Cotton Bowl (Neutral Site);;;
USA 94;Round of 16;Sat;02/07/1994;12:00 (18:00);Germany;3;3-2;2;Belgium;60,246;Soldier Field (Neutral Site);;;
USA 94;Round of 16;Sat;02/07/1994;16:30 (21:30);Spain;3;3-0;0;Switzerland;53,121;RFK Stadium (Neutral Site);;;
USA 94;Round of 16;Sun;03/07/1994;12:00 (18:00);Saudi Arabia;1;1-3;3;Sweden;60,277;Cotton Bowl (Neutral Site);;;
USA 94;Round of 16;Sun;03/07/1994;13:30 (21:30);Romania;3;3-2;2;Argentina;90,469;Rose Bowl (Neutral Site);;;
